,Neg Words,Weights
0,worst,-10.07810542074306
1,waste,-8.198399759839516
2,awful,-7.756071547992773
3,bad,-7.14259559945744
4,boring,-6.196002556356953
5,poor,-6.0279232862082415
6,terrible,-5.972774649590876
7,worse,-5.299217362850814
8,disappointment,-5.1832571199420805
9,horrible,-5.14160510907369
