,Neg Words,Weights
0,waste,-2.5473840939805625
1,4/10,-1.8096841414358416
2,awful,-1.7526345549169613
3,disappointment,-1.7466795163037763
4,poorly,-1.7105587042693
5,disappointing,-1.678266461589507
6,fails,-1.5162923600360656
7,worst,-1.4649031424604246
8,laughable,-1.4510209809589303
9,lacks,-1.437654871544336
